Customer_ID,Age,Gender,Income,Employment_Status,Credit_Score,City,State,Customer_Segment
C00001,24,Male,41800,Full-Time,614,Aurora,Arizona,High Risk
C00002,49,Male,250000,Full-Time,652,Jacksonville,Virginia,High Risk
C00003,38,Female,39600,Full-Time,792,New York,Illinois,Low Risk
C00004,46,Female,56500,Full-Time,663,Tampa,New York,High Risk
C00005,64,Male,30900,Full-Time,850,Buffalo,California,Low Risk
C00006,54,Male,82800,Full-Time,535,Phoenix,Arizona,Very High Risk
C00007,30,Female,69600,Retired,574,Savannah,California,Very High Risk
C00008,56,Male,91700,Full-Time,789,San Jose,New York,Low Risk
C00009,34,Female,29700,Full-Time,808,Plano,Georgia,Low Risk
C00010,51,Female,107300,Retired,625,San Jose,Arizona,High Risk
C00011,35,Female,45200,Unemployed,695,Phoenix,Texas,Medium Risk
C00012,28,Male,60800,Full-Time,743,Norfolk,California,Medium Risk
C00013,34,Female,98800,Part-Time,673,Arlington,Arizona,High Risk
C00014,43,Female,73100,Full-Time,701,Irving,New York,Medium Risk
C00015,60,Female,75500,Self-Employed,691,Plano,California,Medium Risk
C00016,41,Female,93100,Retired,579,Miami,Illinois,Very High Risk
C00017,36,Male,78800,Full-Time,664,Arlington,Georgia,High Risk
C00018,65,Male,55800,Full-Time,691,Phoenix,Virginia,Medium Risk
C00019,38,Female,60300,Full-Time,698,Miami,Virginia,Medium Risk
C00020,67,Female,71500,Part-Time,560,Houston,Virginia,Very High Risk
C00021,44,Female,43400,Part-Time,747,Houston,California,Medium Risk
C00022,46,Female,101800,Part-Time,700,San Jose,Georgia,Medium Risk
C00023,45,Male,74000,Full-Time,611,Los Angeles,Georgia,High Risk
C00024,65,Male,67200,Full-Time,825,Mesa,Illinois,Low Risk
C00025,61,Female,111200,Part-Time,664,Arlington,Arizona,High Risk
C00026,49,Male,61600,Full-Time,669,Buffalo,Georgia,High Risk
C00027,35,Female,59900,Full-Time,738,Aurora,Illinois,Medium Risk
C00028,65,Male,52300,Full-Time,831,Savannah,Virginia,Low Risk
C00029,21,Female,75900,Self-Employed,741,Augusta,California,Medium Risk
C00030,45,Female,74700,Part-Time,752,San Jose,California,Low Risk
C00031,27,Male,48200,Self-Employed,615,Atlanta,Georgia,High Risk
C00032,29,Male,60000,Full-Time,697,Arlington,Illinois,Medium Risk
C00033,44,Female,48300,Unemployed,650,San Diego,California,High Risk
C00034,21,Female,47300,Self-Employed,743,Arlington,Georgia,Medium Risk
C00035,64,Female,29800,Full-Time,750,Phoenix,Arizona,Low Risk
C00036,28,Male,58600,Full-Time,812,Atlanta,Texas,Low Risk
C00037,44,Male,30200,Full-Time,528,Chicago,Florida,Very High Risk
C00038,31,Male,52800,Retired,643,Naperville,Arizona,High Risk
C00039,37,Male,49300,Full-Time,788,Plano,Arizona,Low Risk
C00040,28,Female,104300,Full-Time,585,Tampa,Florida,Very High Risk
C00041,55,Female,41200,Full-Time,750,Naperville,New York,Low Risk
C00042,55,Male,46100,Self-Employed,775,Irving,Georgia,Low Risk
C00043,53,Male,54700,Full-Time,688,Arlington,Florida,Medium Risk
C00044,25,Male,50100,Full-Time,583,Tampa,Texas,Very High Risk
C00045,62,Female,120400,Full-Time,681,Chicago,Georgia,Medium Risk
C00046,59,Male,38900,Full-Time,799,Irving,Florida,Low Risk
C00047,61,Female,54800,Full-Time,805,Plano,Florida,Low Risk
C00048,48,Male,75500,Full-Time,706,Houston,Texas,Medium Risk
C00049,27,Female,96600,Self-Employed,617,Los Angeles,Virginia,High Risk
C00050,29,Male,54800,Self-Employed,820,Fresno,Illinois,Low Risk
C00051,28,Male,27400,Self-Employed,752,Richmond,Virginia,Low Risk
C00052,32,Female,60800,Full-Time,622,Augusta,Virginia,High Risk
C00053,54,Female,119400,Self-Employed,716,Miami,Virginia,Medium Risk
C00054,53,Male,73800,Full-Time,712,Orlando,Florida,Medium Risk
C00055,43,Male,72300,Full-Time,642,Norfolk,Arizona,High Risk
C00056,44,Male,40300,Retired,716,Plano,Virginia,Medium Risk
C00057,57,Male,38500,Self-Employed,773,Tempe,New York,Low Risk
C00058,55,Female,65500,Full-Time,668,Savannah,Arizona,High Risk
C00059,64,Female,34200,Unemployed,781,Mesa,Virginia,Low Risk
C00060,60,Male,92400,Retired,558,Richmond,Florida,Very High Risk
C00061,42,Male,44400,Part-Time,850,Fresno,Virginia,Low Risk
C00062,47,Male,64300,Part-Time,694,Atlanta,Florida,Medium Risk
C00063,55,Male,27800,Self-Employed,770,Chicago,Texas,Low Risk
C00064,21,Male,54400,Full-Time,706,Arlington,Virginia,Medium Risk
C00065,55,Female,38100,Full-Time,628,Fresno,Virginia,High Risk
C00066,57,Male,22900,Self-Employed,687,Mesa,Texas,Medium Risk
C00067,67,Female,82900,Full-Time,547,San Jose,Georgia,Very High Risk
C00068,34,Female,136000,Full-Time,742,Irving,New York,Medium Risk
C00069,23,Female,108100,Full-Time,705,Irving,California,Medium Risk
C00070,21,Female,88300,Full-Time,676,Richmond,Texas,High Risk
C00071,25,Female,53900,Retired,746,Los Angeles,Virginia,Medium Risk
C00072,46,Female,93400,Part-Time,693,Rochester,California,Medium Risk
C00073,34,Male,112700,Full-Time,736,Dallas,Virginia,Medium Risk
C00074,59,Male,69100,Retired,762,Fresno,New York,Low Risk
C00075,47,Male,38100,Unemployed,649,Savannah,Florida,High Risk
C00076,29,Female,51900,Full-Time,627,San Diego,Georgia,High Risk
C00077,35,Female,139900,Unemployed,561,Orlando,Florida,Very High Risk
C00078,35,Male,62900,Full-Time,699,Buffalo,Arizona,Medium Risk
C00079,46,Female,22000,Full-Time,724,Tempe,Georgia,Medium Risk
C00080,62,Female,33600,Full-Time,591,Irving,California,Very High Risk
C00081,33,Female,53700,Part-Time,797,Naperville,Arizona,Low Risk
C00082,52,Female,103600,Full-Time,628,Los Angeles,New York,High Risk
C00083,59,Female,57500,Part-Time,532,Phoenix,New York,Very High Risk
C00084,52,Male,104500,Part-Time,802,New York,Texas,Low Risk
C00085,24,Male,51300,Full-Time,542,Atlanta,Virginia,Very High Risk
C00086,50,Female,26900,Full-Time,762,Mesa,California,Low Risk
C00087,57,Male,52100,Full-Time,744,New York,Georgia,Medium Risk
C00088,43,Male,75900,Full-Time,714,Orlando,Texas,Medium Risk
C00089,59,Female,73100,Part-Time,651,Houston,California,High Risk
C00090,65,Female,37000,Full-Time,728,Arlington,Arizona,Medium Risk
C00091,35,Female,55500,Part-Time,769,Miami,Texas,Low Risk
C00092,63,Male,217600,Full-Time,616,Plano,Texas,High Risk
C00093,49,Male,37300,Part-Time,763,Mesa,New York,Low Risk
C00094,56,Male,87500,Self-Employed,760,Houston,New York,Low Risk
C00095,33,Male,25300,Retired,712,Atlanta,Florida,Medium Risk
C00096,52,Female,95900,Self-Employed,650,Miami,Florida,High Risk
C00097,27,Male,43500,Full-Time,760,Dallas,New York,Low Risk
C00098,42,Male,77900,Full-Time,728,New York,New York,Medium Risk
C00099,48,Female,36400,Part-Time,614,Aurora,Arizona,High Risk
C00100,22,Male,74100,Retired,662,Tampa,Virginia,High Risk
C00101,62,Female,43200,Full-Time,751,Naperville,Texas,Low Risk
C00102,65,Male,47100,Full-Time,699,Phoenix,Florida,Medium Risk
C00103,26,Female,79300,Full-Time,771,Tampa,New York,Low Risk
