Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Application_Date,Approval_Date,Loan_Status,Default_Status
L000001,C01983,B017,Personal,48900,11.92,36,2024-10-03,2024-10-13,Approved,Current
L000002,C01929,B024,Personal,0,14.35,48,2023-01-23,2023-02-07,Rejected,Current
L000003,C02558,B025,Auto,34600,12.28,24,2024-11-26,2024-12-12,Approved,Current
L000004,C04133,B009,Home,105000,10.86,36,2025-04-28,2025-05-02,Approved,Current
L000005,C02020,B014,Home,112900,13.74,48,2023-06-08,2023-06-28,Approved,Current
L000006,C00823,B013,Personal,10500,12.53,12,2025-10-11,2025-10-14,Approved,Current
L000007,C04675,B024,Personal,15000,11.23,36,2023-09-25,2023-09-30,Approved,Current
L000008,C02565,B011,Personal,11100,12.52,36,2024-09-24,2024-09-27,Approved,Current
L000009,C02833,B029,Auto,125100,10.53,24,2024-11-05,2024-11-13,Approved,Current
L000010,C01021,B025,Business,73800,9.97,24,2025-10-24,2025-10-30,Approved,Current
L000011,C01082,B004,Business,163600,10.01,24,2025-03-06,2025-03-21,Approved,Current
L000012,C02023,B003,Education,19500,12.78,24,2025-10-25,2025-10-31,Approved,Current
L000013,C04209,B006,Business,324500,11.63,36,2025-10-01,2025-10-08,Approved,Current
L000014,C03676,B019,Home,222900,11.65,24,2025-11-06,2025-11-14,Approved,Current
L000015,C02884,B017,Home,293100,12.3,72,2023-07-31,2023-08-16,Approved,Current
L000016,C01780,B028,Education,0,13.43,48,2023-06-27,2023-07-10,Rejected,Current
L000017,C01820,B016,Auto,54800,14.11,48,2023-06-23,2023-06-28,Approved,Current
L000018,C04697,B005,Personal,21600,13.09,36,2025-01-24,2025-02-13,Approved,Current
L000019,C04538,B010,Auto,0,14.3,72,2024-09-14,2024-09-16,Rejected,Current
L000020,C03762,B029,Education,15500,9.63,60,2024-10-05,2024-10-19,Approved,Current
L000021,C00228,B027,Business,83400,11.02,12,2023-01-31,2023-02-18,Approved,Current
L000022,C00874,B004,Personal,0,14.03,60,2023-01-04,2023-01-22,Rejected,Current
L000023,C03651,B025,Education,45200,12.61,24,2025-06-09,2025-06-27,Approved,Default
L000024,C04767,B021,Education,24600,8.89,48,2023-01-18,2023-02-02,Approved,Current
L000025,C03429,B016,Personal,0,12.63,72,2025-10-15,2025-10-20,Rejected,Current
L000026,C01292,B011,Business,135500,11.32,72,2023-08-20,2023-08-22,Approved,Current
L000027,C04791,B002,Business,193500,10.06,24,2023-02-17,2023-02-28,Approved,Current
L000028,C02917,B017,Personal,7200,10.63,72,2023-03-04,2023-03-24,Approved,Current
L000029,C01028,B015,Auto,86300,14.21,12,2023-09-27,2023-10-07,Approved,Current
L000030,C03550,B009,Home,398800,8.82,72,2023-10-16,2023-10-21,Approved,Current
L000031,C00121,B002,Auto,22600,16.22,60,2023-06-19,2023-06-21,Approved,Current
L000032,C00742,B007,Education,15100,12.33,72,2025-06-14,2025-06-26,Approved,Current
L000033,C03882,B013,Home,330100,10.13,36,2024-09-15,2024-10-02,Approved,Current
L000034,C01510,B006,Home,87100,10.17,72,2023-04-09,2023-04-14,Approved,Current
L000035,C01243,B027,Education,19400,8.69,60,2025-06-01,2025-06-19,Approved,Current
L000036,C04790,B021,Education,13600,10.28,36,2024-11-13,2024-11-29,Approved,Current
L000037,C04353,B002,Personal,0,13.84,36,2024-11-27,2024-12-05,Rejected,Current
L000038,C02091,B028,Education,62700,11.86,36,2023-05-23,2023-05-27,Approved,Current
L000039,C02918,B008,Personal,22100,11.47,48,2023-11-02,2023-11-06,Approved,Current
L000040,C03782,B022,Home,323900,11.14,24,2024-01-07,2024-01-11,Approved,Current
L000041,C01713,B008,Business,78300,12.54,48,2024-07-28,2024-08-14,Approved,Current
L000042,C02636,B020,Business,0,12.82,12,2024-08-04,2024-08-24,Rejected,Current
L000043,C03765,B026,Auto,16300,13.82,36,2024-01-28,2024-02-07,Approved,Current
L000044,C00594,B006,Personal,17100,14.91,60,2023-01-01,2023-01-02,Approved,Current
L000045,C01034,B009,Personal,11900,14.59,48,2024-12-28,2025-01-15,Approved,Current
L000046,C02840,B019,Education,25600,13.75,36,2024-01-05,2024-01-20,Approved,Current
L000047,C00212,B011,Personal,15900,10.49,36,2025-11-25,2025-12-05,Approved,Current
L000048,C01406,B025,Personal,15100,10.67,36,2023-08-30,2023-09-15,Approved,Current
L000049,C03812,B030,Business,0,13.66,12,2025-09-04,2025-09-08,Rejected,Current
L000050,C03077,B022,Auto,84600,8.93,36,2025-08-20,2025-09-07,Approved,Current
L000051,C00922,B028,Home,403100,11.6,60,2024-05-04,2024-05-15,Approved,Current
L000052,C02040,B017,Personal,48300,10.72,24,2025-02-03,2025-02-11,Approved,Current
L000053,C02200,B004,Business,0,12.64,24,2025-08-25,2025-08-26,Rejected,Current
L000054,C04063,B021,Education,27700,10.48,60,2023-05-02,2023-05-04,Approved,Current
L000055,C03239,B002,Personal,16800,14.05,36,2024-08-16,2024-09-02,Approved,Current
L000056,C01494,B007,Auto,36400,12.57,36,2025-09-23,2025-10-13,Approved,Default
L000057,C04174,B020,Personal,16000,10.12,48,2023-11-29,2023-12-18,Approved,Current
L000058,C04508,B025,Business,53600,15.33,48,2025-06-28,2025-07-08,Approved,Current
L000059,C01578,B010,Home,217800,10.54,24,2024-12-14,2024-12-22,Approved,Current
L000060,C01598,B004,Auto,13500,9.14,48,2023-03-27,2023-04-05,Approved,Current
L000061,C02429,B025,Home,199500,10.2,60,2025-02-15,2025-02-25,Approved,Current
L000062,C02996,B021,Home,107000,9.13,48,2024-01-05,2024-01-25,Approved,Current
L000063,C00313,B006,Business,0,12.81,72,2023-12-03,2023-12-08,Rejected,Current
L000064,C02443,B009,Home,0,15.89,84,2024-08-03,2024-08-12,Rejected,Current
L000065,C03982,B013,Business,78200,13.57,48,2025-07-18,2025-07-29,Approved,Current
L000066,C04076,B026,Home,0,10.35,84,2025-07-24,2025-08-11,Rejected,Current
L000067,C00004,B023,Personal,9400,11.79,60,2024-01-27,2024-01-28,Approved,Current
L000068,C04205,B013,Home,238000,10.46,48,2023-01-06,2023-01-22,Approved,Current
L000069,C00886,B004,Home,136200,14.35,72,2024-03-13,2024-04-02,Approved,Current
L000070,C04189,B029,Home,251800,15.72,84,2023-05-26,2023-06-05,Approved,Current
L000071,C00192,B009,Business,95500,11.45,84,2025-10-11,2025-10-29,Approved,Current
L000072,C02381,B020,Auto,0,15.38,60,2023-06-11,2023-06-12,Rejected,Current
L000073,C01236,B021,Business,115000,11.17,48,2024-07-16,2024-07-22,Approved,Current
L000074,C03279,B009,Home,127600,12.63,36,2025-10-14,2025-10-15,Approved,Current
L000075,C04723,B008,Personal,22400,11.83,48,2024-06-03,2024-06-06,Approved,Current
L000076,C03034,B026,Personal,14300,15.72,60,2024-02-18,2024-03-02,Approved,Current
L000077,C04669,B006,Business,383300,9.37,12,2025-04-05,2025-04-17,Approved,Current
L000078,C02404,B027,Personal,9600,10.03,36,2025-06-10,2025-06-24,Approved,Current
L000079,C04292,B022,Personal,14800,12.29,36,2023-11-13,2023-11-30,Approved,Current
L000080,C00262,B023,Personal,15100,10.19,60,2024-04-07,2024-04-23,Approved,Current
L000081,C02370,B014,Home,88000,13.36,60,2025-10-18,2025-10-31,Approved,Current
L000082,C02468,B017,Home,275800,10.35,48,2023-07-18,2023-07-22,Approved,Current
L000083,C01935,B020,Personal,14200,11.99,72,2024-02-24,2024-03-10,Approved,Current
L000084,C04428,B030,Home,50000,9.67,48,2025-05-19,2025-05-28,Approved,Current
L000085,C01260,B008,Home,271200,12.45,60,2024-02-07,2024-02-24,Approved,Current
L000086,C04777,B030,Business,67000,15.76,60,2023-01-18,2023-01-29,Approved,Current
L000087,C02055,B010,Business,89700,14.05,72,2024-01-04,2024-01-24,Approved,Current
L000088,C00534,B015,Auto,0,12.41,60,2024-10-21,2024-10-28,Rejected,Current
L000089,C02120,B026,Home,151400,13.78,84,2024-05-28,2024-06-04,Approved,Current
L000090,C01524,B023,Personal,14700,10.46,36,2023-01-30,2023-02-03,Approved,Current
L000091,C02666,B002,Business,368500,12.65,24,2024-03-10,2024-03-18,Approved,Current
L000092,C02187,B023,Home,56600,11.34,60,2023-02-16,2023-03-07,Approved,Current
L000093,C03458,B021,Home,0,13.95,72,2023-10-26,2023-11-09,Rejected,Current
L000094,C02590,B010,Education,15400,12.12,12,2024-01-22,2024-01-26,Approved,Default
L000095,C04420,B022,Education,74900,13.08,36,2025-05-28,2025-06-14,Approved,Current
L000096,C01941,B010,Business,66600,10.78,60,2024-12-13,2024-12-31,Approved,Current
L000097,C03737,B027,Education,32000,11.99,60,2024-03-31,2024-04-15,Approved,Current
L000098,C00073,B029,Business,73200,11.76,60,2023-06-11,2023-06-16,Approved,Current
L000099,C02888,B017,Auto,44600,11.41,48,2025-01-20,2025-02-04,Approved,Current
L000100,C00988,B017,Personal,0,13.24,36,2024-09-07,2024-09-11,Rejected,Current
L000101,C01346,B028,Education,32200,13.86,60,2023-12-05,2023-12-09,Approved,Current
L000102,C03413,B008,Business,192800,11.67,48,2025-11-26,2025-12-08,Approved,Current
L000103,C01787,B026,Personal,22900,10.13,48,2023-02-28,2023-03-18,Approved,Current
L000104,C01032,B023,Home,0,10.68,60,2025-05-25,2025-06-13,Rejected,Current
L000105,C02007,B012,Personal,0,12.48,24,2023-12-27,2024-01-14,Rejected,Current
L000106,C01231,B001,Education,0,12.41,48,2025-02-24,2025-02-25,Rejected,Current
L000107,C00411,B010,Auto,43700,12.02,36,2023-01-25,2023-01-29,Approved,Current
L000108,C02306,B002,Personal,19600,13.99,12,2024-03-28,2024-04-12,Approved,Current
L000109,C01820,B017,Personal,8500,13.88,60,2023-01-25,2023-01-31,Approved,Current
L000110,C03093,B002,Education,41700,9.17,48,2023-09-05,2023-09-07,Approved,Current
L000111,C02592,B013,Auto,51700,12.9,72,2025-12-10,2025-12-12,Approved,Current
L000112,C02503,B007,Home,219700,12.78,48,2025-08-06,2025-08-08,Approved,Current
L000113,C00662,B026,Home,197000,10.67,12,2023-06-26,2023-07-07,Approved,Current
L000114,C01230,B026,Personal,0,11.14,36,2023-05-05,2023-05-13,Rejected,Current
L000115,C01357,B028,Personal,0,13.08,24,2023-06-15,2023-07-02,Rejected,Current
L000116,C03093,B007,Auto,63300,9.73,72,2023-05-06,2023-05-18,Approved,Current
L000117,C01674,B027,Home,191900,12.32,48,2025-05-31,2025-06-04,Approved,Current
L000118,C01089,B009,Home,172100,9.41,48,2023-03-11,2023-03-12,Approved,Current
L000119,C03649,B015,Auto,45300,12.85,36,2024-06-06,2024-06-16,Approved,Current
L000120,C03551,B025,Personal,16700,15.45,48,2024-11-02,2024-11-09,Approved,Current
L000121,C01961,B030,Education,0,13.12,24,2025-05-02,2025-05-18,Rejected,Current
L000122,C03446,B009,Personal,23200,12.37,48,2025-07-22,2025-08-08,Approved,Current
L000123,C00500,B007,Personal,13600,11.49,60,2023-07-04,2023-07-10,Approved,Current
L000124,C00326,B012,Personal,20300,12.92,36,2023-11-19,2023-11-20,Approved,Current
L000125,C04649,B008,Personal,18800,14.37,36,2023-01-15,2023-01-26,Approved,Current
L000126,C00888,B007,Personal,30600,13.89,60,2025-05-01,2025-05-14,Approved,Current
L000127,C00996,B006,Home,132200,13.56,48,2024-03-17,2024-03-30,Approved,Current
L000128,C03674,B010,Auto,10700,9.79,48,2024-02-03,2024-02-12,Approved,Current
L000129,C03041,B027,Personal,15200,9.56,36,2024-11-30,2024-12-03,Approved,Current
L000130,C00929,B020,Home,230200,12.55,48,2025-02-09,2025-02-11,Approved,Current
L000131,C02969,B003,Education,0,15.1,12,2024-07-30,2024-07-31,Rejected,Current
L000132,C04404,B021,Personal,12300,16.08,48,2025-07-04,2025-07-11,Approved,Current
L000133,C01923,B030,Business,128000,10.75,60,2025-10-31,2025-11-20,Approved,Current
L000134,C04566,B030,Personal,33600,14.6,24,2023-07-10,2023-07-20,Approved,Current
L000135,C03256,B021,Personal,27200,12.31,60,2025-04-30,2025-05-02,Approved,Current
L000136,C01655,B020,Home,119800,13.7,36,2023-03-01,2023-03-05,Approved,Current
L000137,C00625,B012,Personal,12400,13.22,12,2023-06-05,2023-06-21,Approved,Current
L000138,C04345,B003,Education,0,12.81,84,2025-10-15,2025-10-23,Rejected,Current
L000139,C02372,B020,Personal,0,12.15,24,2024-04-13,2024-04-25,Rejected,Current
L000140,C04700,B018,Auto,32300,13.64,36,2025-07-17,2025-07-22,Approved,Default
L000141,C00059,B023,Auto,29200,11.36,48,2023-11-11,2023-12-01,Approved,Current
L000142,C02317,B028,Personal,8500,12.03,72,2025-12-05,2025-12-08,Approved,Current
L000143,C01278,B028,Auto,26200,12.34,48,2025-02-06,2025-02-07,Approved,Current
L000144,C00687,B014,Home,124800,11.66,72,2023-05-12,2023-05-26,Approved,Current
L000145,C04611,B016,Auto,32500,10.09,48,2024-02-15,2024-03-05,Approved,Current
L000146,C00533,B008,Business,41300,11.96,36,2023-05-16,2023-06-01,Approved,Current
L000147,C03176,B016,Home,154400,16.36,48,2024-09-08,2024-09-17,Approved,Current
L000148,C03905,B026,Home,106200,14.85,24,2025-03-24,2025-03-29,Approved,Current
L000149,C04498,B017,Personal,30200,11.95,24,2025-06-22,2025-06-26,Approved,Current
L000150,C03853,B001,Personal,11200,11.87,24,2023-01-26,2023-02-01,Approved,Current
L000151,C03405,B005,Personal,13100,15.41,12,2024-05-27,2024-06-08,Approved,Current
L000152,C02769,B028,Education,0,14.29,24,2024-05-05,2024-05-19,Rejected,Current
L000153,C02925,B023,Home,144100,13.35,36,2025-09-19,2025-10-03,Approved,Current
L000154,C02656,B005,Personal,65900,13.12,12,2025-02-04,2025-02-10,Approved,Current
L000155,C02141,B023,Personal,30000,8.4,12,2024-04-12,2024-04-17,Approved,Current
L000156,C00574,B028,Personal,18200,15.28,24,2024-12-22,2024-12-24,Approved,Current
L000157,C01566,B018,Personal,22000,11.99,72,2025-11-28,2025-12-01,Approved,Current
L000158,C01806,B003,Home,0,15.57,48,2025-06-23,2025-07-02,Rejected,Current
L000159,C00437,B004,Personal,0,15.63,48,2023-01-27,2023-02-03,Rejected,Current
L000160,C03082,B021,Personal,23900,12.19,48,2023-07-17,2023-07-29,Approved,Current
L000161,C02504,B029,Auto,30700,15.25,48,2025-07-04,2025-07-22,Approved,Current
L000162,C02463,B016,Education,38200,11.97,24,2025-09-24,2025-10-07,Approved,Current
L000163,C03590,B020,Home,270100,13.44,48,2025-01-11,2025-01-12,Approved,Current
L000164,C01399,B023,Business,0,9.25,60,2023-01-22,2023-01-23,Rejected,Current
L000165,C01555,B005,Personal,22200,11.27,48,2024-03-16,2024-03-17,Approved,Current
L000166,C02752,B016,Business,169100,9.22,72,2024-01-27,2024-02-03,Approved,Current
L000167,C02930,B005,Personal,0,11.96,24,2023-01-01,2023-01-10,Rejected,Current
L000168,C04858,B018,Business,82700,11.61,60,2024-03-13,2024-03-14,Approved,Current
