Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Days_Late,Payment_Status
P0000001,L000239,2024-08-15,1184.28,0,On Time
P0000002,L007234,2025-12-03,106.2,11,Late
P0000003,L000390,2026-03-18,609.81,0,On Time
P0000004,L001428,2024-06-19,1234.83,0,On Time
P0000005,L003108,2023-03-03,572.4,0,On Time
P0000006,L007206,2023-05-31,457.01,0,On Time
P0000007,L004615,2023-06-05,3471.28,3,Late
P0000008,L003365,2023-04-02,1352.56,21,Severely Late
P0000009,L000948,2025-03-06,595.98,0,On Time
P0000010,L006485,2025-04-16,1768.42,6,Late
P0000011,L006546,2026-01-26,649.95,0,On Time
P0000012,L003550,2025-05-09,350.3,3,Late
P0000013,L002166,2023-02-23,596.07,5,Late
P0000014,L000951,2026-04-18,513.01,10,Late
P0000015,L001668,2024-12-26,564.05,0,On Time
P0000016,L007666,2023-03-31,417.32,12,Late
P0000017,L007721,2023-10-19,837.73,0,On Time
P0000018,L007168,2023-10-24,1331.29,24,Severely Late
P0000019,L004449,2025-06-29,747.79,2,Late
P0000020,L005345,2026-06-12,729.84,22,Severely Late
P0000021,L004602,2023-12-14,1115.83,17,Severely Late
P0000022,L002143,2024-03-24,722.92,0,On Time
P0000023,L001110,2023-07-08,1242.58,0,On Time
P0000024,L001442,2026-07-24,754.87,4,Late
P0000025,L000337,2024-09-16,1581.75,0,On Time
P0000026,L005796,2023-09-08,793.03,16,Severely Late
P0000027,L005372,2024-05-11,484.95,18,Severely Late
P0000028,L000660,2024-04-24,1510.33,3,Late
P0000029,L000070,2025-01-06,2286.66,7,Late
P0000030,L000155,2024-02-24,507.78,3,Late
P0000031,L000934,2023-06-15,1377.88,0,On Time
P0000032,L005531,2025-05-30,416.68,19,Severely Late
P0000033,L003735,2024-01-08,248.76,0,On Time
P0000034,L004360,2024-04-06,1436.56,0,On Time
P0000035,L004641,2026-06-28,1156.58,14,Late
P0000036,L002161,2024-06-01,974.08,0,On Time
P0000037,L006891,2025-07-07,896.05,3,Late
P0000038,L000323,2025-06-02,1526.71,0,On Time
P0000039,L001419,2025-05-26,533.51,7,Late
P0000040,L005588,2025-11-08,2259.44,1,Late
P0000041,L004507,2024-11-26,1335.94,14,Late
P0000042,L002197,2025-11-21,386.83,13,Late
P0000043,L006432,2023-05-05,451.04,15,Late
P0000044,L002475,2023-03-23,453.52,12,Late
P0000045,L004926,2023-03-18,1243.09,11,Late
P0000046,L003151,2025-08-22,1071.99,0,On Time
P0000047,L004989,2023-09-16,571.79,23,Severely Late
P0000048,L000909,2025-07-19,859.83,0,On Time
P0000049,L005833,2023-04-29,1606.62,16,Severely Late
P0000050,L006000,2023-12-26,1450.2,1,Late
P0000051,L006779,2024-08-26,895.6,12,Late
P0000052,L001130,2023-03-29,1346.87,0,On Time
P0000053,L003916,2024-10-31,2501.88,7,Late
P0000054,L000541,2026-01-23,1266.64,0,On Time
P0000055,L005073,2026-02-28,329.32,0,On Time
P0000056,L002372,2024-01-28,866.03,1,Late
P0000057,L005342,2023-03-19,1166.64,19,Severely Late
P0000058,L000271,2024-02-09,1779.24,0,On Time
P0000059,L007102,2025-02-02,624.07,10,Late
P0000060,L000174,2026-07-05,1658.37,0,On Time
P0000061,L004270,2024-04-23,695.77,1,Late
P0000062,L006783,2025-12-26,534.39,3,Late
P0000063,L005923,2024-07-31,382.23,0,On Time
P0000064,L000124,2024-05-07,473.96,0,On Time
P0000065,L004891,2023-10-29,939.64,0,On Time
P0000066,L003508,2025-05-24,841.94,11,Late
P0000067,L002781,2025-10-25,617.08,3,Late
P0000068,L002393,2023-09-20,862.63,0,On Time
P0000069,L002283,2023-09-10,1433.5,0,On Time
P0000070,L003991,2023-05-18,3389.5,12,Late
P0000071,L001461,2025-08-08,772.41,4,Late
P0000072,L004603,2023-05-03,2559.94,0,On Time
P0000073,L006838,2025-07-12,883.02,15,Late
P0000074,L002781,2024-03-07,550.74,0,On Time
P0000075,L005215,2023-08-26,2216.27,4,Late
P0000076,L002961,2026-03-10,552.51,13,Late
P0000077,L001216,2025-08-12,781.64,12,Late
